provider,country,mobile,desktop
,AE,0.00024,0.000335
,AF,0.0000825,0.000795
,AG,0.00036,0.00015
,AL,0.000045,0.000445
,AM,0.000015,0.00137
,AO,0.0000825,0.000015
,AR,0.000035,0.00036
,AT,0.000025,0.00198
,AU,0.00027,0.0004
,AW,0.0000825,0.000105
,AZ,0.00003,0.00118
,BA,0.000015,0.00117
,BD,0.00007,0.00015
,BE,0.000135,0.00025
,BF,0.0000825,0.0002
,BG,0.00004,0.000325
,BH,0.00005,0.00018
,BJ,0.0000825,0.000055
,BN,0.00007,0.00005
,BO,0.000035,0.000335
,BR,0.00009,0.00033
,BW,0.00009,0.00062
,BY,0.000035,0.000135
,CA,0.000215,0.0005
,CG,0.00003,0.00015
,CH,0.0001,0.00015
,CI,0.00033,0.00053
,CL,0.00008,0.00035
,CM,0.00021,0.00033
,CN,0.000005,0.00022
,CO,0.00007,0.000345
,CR,0.000065,0.00033
,CZ,0.00003,0.00025
,DE,0.000065,0.002415
,DK,0.000105,0.000325
,DO,0.000055,0.00076
,DZ,0.000055,0.000425
,EC,0.000055,0.00044
,EE,0.000105,0.00015
,EG,0.000025,0.000385
,ES,0.00007,0.0004
,ET,0.000075,0.00015
,FI,0.000115,0.00114
,FR,0.0001,0.0004
,GB,0.00022,0.00035
,GE,0.000005,0.000405
,GH,0.00024,0.000175
,GR,0.00004,0.00035
,GT,0.00004,0.00037
,HK,0.00011,0.00035
,HN,0.00005,0.00011
,HR,0.000075,0.0001
,HT,0.000155,0.00006
,HU,0.00008,0.000225
,ID,0.00007,0.00006
,IE,0.00036,0.00015
,IL,0.000145,0.00058
,IN,0.00007,0.000075
,IQ,0.00008,0.00011
,IT,0.000075,0.00047
,JM,0.000145,0.00002
,JO,0.00009,0.000035
,JP,0.00018,0.000405
,KE,0.00009,0.00035
,KG,0.00008,0.00009
,KH,0.0000825,0.000075
,KM,0.0000825,0.000055
,KW,0.000055,0.00027
,KZ,0.00005,0.00178
,LA,0.00018,0.00015
,LK,0.000065,0.000125
,LS,0.0000825,0.000015
,LT,0.00009,0.0002
,LU,0.00011,0.00015
,LV,0.000085,0.000045
,LY,0.0000825,0.000125
,MA,0.000065,0.000165
,MD,0.000005,0.000045
,ME,0.0000825,0.00024
,MG,0.000025,0.000695
,MK,0.000095,0.00054
,ML,0.0000825,0.00016
,MM,0.0001,0.000665
,MN,0.000055,0.00015
,MP,0.0000825,0.000395
,MT,0.0000825,0.00016
,MV,0.000415,0.00015
,MW,0.0000825,0.00007
,MX,0.000095,0.000265
,MY,0.0001,0.000135
,MZ,0.000085,0.00017
,NA,0.000165,0.000195
,NG,0.000235,0.00012
,NI,0.000075,0.00014
,NL,0.000125,0.00035
,NP,0.00009,0.000105
,NZ,0.00008,0.00275
,OM,0.00014,0.00025
,PA,0.00006,0.000365
,PE,0.000045,0.000385
,PG,0.00005,0.00015
,PH,0.000055,0.000185
,PK,0.000065,0.00013
,PL,0.0001,0.00022
,PR,0.0001,0.001245
,PS,0.00007,0.000105
,PT,0.00001,0.000365
,PY,0.00004,0.0012
,QA,0.000175,0.00025
,RE,0.00005,0.00048
,RO,0.000055,0.00043
,RS,0.00002,0.000185
,RU,0.000025,0.00025
,RW,0.000135,0.00015
,SA,0.00015,0.00018
,SC,0.0000825,0.000115
,SE,0.00007,0.00114
,SG,0.00019,0.0004
,SI,0.000165,0.00015
,SK,0.000125,0.000235
,SR,0.0000825,0.00048
,SV,0.00003,0.000705
,SZ,0.00018,0.000185
,TH,0.000115,0.000255
,TN,0.00006,0.00008
,TR,0.00003,0.00027
,TT,0.000085,0.00045
,TW,0.000085,0.001255
,TZ,0.0000825,0.00002
,UA,0.000035,0.00019
,UG,0.00031,0.00079
,US,0.000225,0.0005
,UY,0.000065,0.000325
,UZ,0.000045,0.000805
,VE,0.000005,0.000495
,VN,0.000045,0.000155
,YE,0.000215,0.00001
,ZA,0.000285,0.000285
,ZM,0.00015,0.00015
,ZW,0.000165,0.000015
,,0.00016500,0.00016500
cryptomininggame.com,,0.00022500,0.00022500
adgatemedia.com,,0.00016500,0.00016500
qpush.net,,0.00022500,0.00022500
superrewards.com,,0.00022500,0.00022500
collectskins.com,,0.00022500,0.00022500
faucetofbob.xyz,,0.00022500,0.00022500
offersbux.com,,0.00022500,0.00022500
mediumpath.com,,0.00022500,0.00022500
c4free.win,,0.00022500,0.00022500
ptcwall.com,,0.00022500,0.00022500
earnsanity.com,,0.00022500,0.00022500
indexbitco.in,,0.00022500,0.00022500
faucethut.tk,,0.00022500,0.00022500
crshrin.us,,0.00022500,0.00022500
dogeforfree.info,,0.00022500,0.00022500
firefaucet.win,,0.00022500,0.00022500
offertoro.com,,0.00022500,0.00022500
bitclix.io,,0.00022500,0.00022500
contract-miner.com,,0.00022500,0.00022500
larvelfaucet.com,,0.00022500,0.00022500
gifthunterclub.com,,0.00022500,0.00022500
get-paid.com,,0.00022500,0.00022500
freedrawfriday.com,,0.00022500,0.00022500
gg2u.org,,0.00022500,0.00022500
dollarclix.com,,0.00022500,0.00022500
azobux.net,,0.00022500,0.00022500
rewardingways.com,,0.00022500,0.00022500
offernation.com,,0.00022500,0.00022500
satoshilabs.net,,0.00022500,0.00022500
dogeads.top,,0.00022500,0.00022500
minglecash.com,,0.00022500,0.00022500
coinpayu.com,,0.00022500,0.00022500
coinville.org,,0.00022500,0.00022500
clixsense.com,,0.00022500,0.00022500
superpay.me,,0.00022500,0.00022500
punjabjob.in,,0.00022500,0.00022500
keeprewarding.com,,0.00022500,0.00022500
wanmeibtc.com,,0.00022500,0.00022500
earn99.co,,0.00022500,0.00022500
express.dutchycorp.space,,0.00022500,0.00022500
simulatedapeminer.com,,0.00022500,0.00022500
fasturls.club,,0.00022500,0.00022500
yannik.biz,,0.00022500,0.00022500
eloot.gg,,0.00022500,0.00022500
freeiota.de,,0.00022500,0.00022500
bits4free.net,,0.00022500,0.00022500
earncoins.gg,,0.00022500,0.00022500
browsejoy.co,,0.00022500,0.00022500
litecoinads.com,,0.00022500,0.00022500
revenueuniverse.com,,0.00022500,0.00022500
crypto-info.website,,0.00022500,0.00022500
dogeforfree.info/litecoin/,,0.00022500,0.00022500
neobux.com,,0.00022500,0.00022500
faucetcoinwall.com,,0.00022500,0.00022500
quickrewardsinc.com,,0.00022500,0.00022500
swagbucks,,0.00022500,0.00022500
